label.delta,label.k_dn,label.k_up,label.n_v,label.t_fill_min,signal.k_h,signal,n_events,fill_rate,n_filled,mean_ret_net,t_stat,win_rate,bt_n_trades,bt_total_return,bt_sharpe,trial_hash,daily_sr,n_days,skew,kurt
0.0,1.0,2.0,16,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0018245917925892824,-59.430596850194995,0.2823515634149198,2186,-0.9999636423578021,-3.9883660238919685,a42f03b1adc5,-0.20876061889510683,3327,-4.875385704419615,40.82558433360863
0.0,1.0,2.0,16,15,2.0,dip,23979,0.8202593936360982,19669,-0.0015601930014493668,-34.04670242147278,0.2909146372464284,5771,-0.9999282554646964,-4.335886118934874,eca256d17e19,-0.22695065202773496,3327,-2.1743235516063213,29.491106905576586
0.0,1.0,2.0,16,15,2.0,breakout,25239,0.818217837473751,20651,-0.0019272765057859026,-42.85612187534252,0.27737155585685924,2729,-0.9999630340643236,-4.439681339811395,eca256d17e19,-0.2323835421934656,3327,-2.3639234674433047,91.60075608174192
0.0,1.0,2.0,16,15,3.0,dip,14106,0.8214943995462923,11588,-0.0015419335520861057,-26.051763581665245,0.2932343803935105,5270,-0.9997829605984633,-4.518310669157801,831a1b854ab3,-0.23649918939317896,3327,-0.9895214392911,35.33008927297127
0.0,1.0,2.0,16,15,3.0,breakout,14882,0.825964252116651,12292,-0.001980562078576112,-33.06446177336543,0.275870484868207,3295,-0.9999293821055664,-5.155136016597404,831a1b854ab3,-0.26983215152935025,3327,-4.589004269267577,54.377118306672834
0.0,1.0,2.0,16,15,4.0,dip,9200,0.8376086956521739,7706,-0.0015758079236086072,-21.35310018029916,0.2882169737866597,5081,-0.9996360642846899,-4.773834107944983,3bdbd313115f,-0.24987389745755167,3327,-0.06973540145280815,32.988410489759936
0.0,1.0,2.0,16,15,4.0,breakout,9899,0.8229114051924437,8146,-0.00196400202342781,-26.969808474032668,0.2728946722317702,3691,-0.999772882669274,-5.246779551672868,3bdbd313115f,-0.2746289933902736,3327,-0.9799500826047424,39.18983788644039
0.0,1.0,2.0,16,60,1.0,dip,50976,0.8958137162586315,45665,-0.0016332821895837571,-54.791732357645834,0.2891273404138837,3203,-0.9999639037813004,-3.8356550182163667,344530094369,-0.20076735953376484,3327,-4.848770467138417,36.39126527759895
0.0,1.0,2.0,16,60,1.0,breakout,52920,0.898790627362056,47564,-0.0018775014149934324,-63.5948927160018,0.281746699184257,1529,-0.9999637066154402,-3.848936078535729,344530094369,-0.20146252200261663,3327,-6.448236598234145,53.18778694567877
0.0,1.0,2.0,16,60,2.0,dip,23979,0.8955335918929063,21474,-0.0015970568049688513,-36.22429118995479,0.2909565055415852,5302,-0.9999346295908608,-4.146296803783192,c70388dc62ba,-0.21702709372594645,3327,-2.2463485620565216,39.962582959654966
0.0,1.0,2.0,16,60,2.0,breakout,25239,0.9038789175482388,22813,-0.002033782285015735,-46.48883972906589,0.2755884802524876,1790,-0.9999631939542555,-4.003738680949709,c70388dc62ba,-0.2095652605408865,3327,-5.237416166566124,68.63199272987637
0.0,1.0,2.0,16,60,3.0,dip,14106,0.8916064086204452,12577,-0.0015998524408992183,-27.991523654320776,0.29084837401606106,4926,-0.9997826414944817,-4.5351284049350475,e66665c3272d,-0.23737946991614017,3327,-1.785468725912807,30.68918123698471
0.0,1.0,2.0,16,60,3.0,breakout,14882,0.9093535815078618,13533,-0.0020930638053347824,-35.70721501778397,0.27370132269267716,2611,-0.9999455141270348,-4.600787624779759,e66665c3272d,-0.2408162305566734,3327,-6.19346140240104,80.397996249688
0.0,1.0,2.0,16,60,4.0,dip,9200,0.8972826086956521,8255,-0.0015994823222248511,-22.358340809048673,0.2883101150817686,5075,-0.9997688955309633,-4.876792727996824,2e887130b612,-0.25526299793475266,3327,-0.31650768927485257,31.25980896286859
0.0,1.0,2.0,16,60,4.0,breakout,9899,0.9067582584099404,8976,-0.002079878121829997,-28.885015209005843,0.2716131907308378,3246,-0.999858288708937,-4.947725871514627,2e887130b612,-0.25897580835692696,3327,-2.0287340500885853,54.64345172296071
0.0,1.0,3.0,4,15,1.0,dip,50976,0.8163449466415568,41614,-0.0018552087702714624,-63.76638036489228,0.2554428798000673,3157,-0.9999641062159852,-3.8711313852567337,452a5c4fc0c8,-0.20262427745331674,3327,-5.606458408913253,59.562011294565714
0.0,1.0,3.0,4,15,1.0,breakout,52920,0.8067838246409675,42695,-0.0020425989543686276,-72.16029500061406,0.23475816840379435,1929,-0.9999636520375674,-3.999044268078575,452a5c4fc0c8,-0.2093195437409598,3327,-5.84008516557264,52.94111159308473
0.0,1.0,3.0,4,15,2.0,dip,23979,0.8202593936360982,19669,-0.0018452197720056458,-41.97318497530598,0.2555290050333011,4433,-0.9999283336154402,-4.406430187187277,7ce6602555a0,-0.2306430973197494,3327,-2.2370959152207455,49.74806885375644
0.0,1.0,3.0,4,15,2.0,breakout,25239,0.818217837473751,20651,-0.0021541071333641623,-50.196995096853705,0.2270592223136894,2343,-0.9999629286734052,-4.6291150997773105,7ce6602555a0,-0.24229895836470286,3327,-6.16044812982273,66.06051498558887
0.0,1.0,3.0,4,15,3.0,dip,14106,0.8214943995462923,11588,-0.001853681337623377,-31.847007960565072,0.25768035899206077,4203,-0.9998262798241716,-4.883399813749544,3d90894adeae,-0.25560882860891054,3327,-2.0738207857939983,35.95946595023638
0.0,1.0,3.0,4,15,3.0,breakout,14882,0.825964252116651,12292,-0.002179274213009738,-38.58097169512255,0.22494305239179954,2755,-0.9999325844647328,-5.227246859181572,3d90894adeae,-0.2736066055380193,3327,-5.057192733382316,59.168714399229096
0.0,1.0,3.0,4,15,4.0,dip,9200,0.8376086956521739,7706,-0.0018236124936823394,-24.763771507126673,0.2508434985725409,4451,-0.9997742471519586,-5.014527857478193,2fa55cc2d974,-0.2624723841099136,3327,0.7902299601232424,42.90922296927006
